M,N,K,g,gm,gn,act_reuse_groups,wgt_reuse_groups,mtile,ntile,ktile,k_iters,area_x_g,resident_blocks,phase_count,cycles_total,cycles_compute,cycles_memory,cycles_control,cycles_exposed_load,overlap_hidden_cycles,overlap_hidden_ratio,overlap_hidden_load_ratio,overlap_ratio,utilization
1024,1024,640,2,1,2,1,2,16,32,64,10,1024,3,1,1728584.0,737280.0,2097152.0,0.0,860232.0,1105848.0,0.639742,0.562463,0.527309,1.0
1024,1024,2304,2,1,2,1,2,16,32,64,36,1024,3,1,5881928.0,2654208.0,7208960.0,0.0,3096648.0,3981240.0,0.67686,0.56249,0.552263,1.0
1024,1536,1536,2,1,2,1,2,16,32,64,24,1024,3,1,5947464.0,2654208.0,7274496.0,0.0,3096648.0,3981240.0,0.669401,0.56249,0.547287,1.0
1024,1536,8960,2,1,2,1,2,16,32,64,140,1024,3,1,33742920.0,15482880.0,41484288.0,0.0,18063432.0,23224248.0,0.68827,0.562498,0.559832,1.0
1024,2048,640,2,1,2,1,2,16,32,64,10,1024,3,1,3457096.0,1474560.0,4194304.0,0.0,1720392.0,2211768.0,0.639776,0.562482,0.527327,1.0
1024,2048,2048,2,1,2,1,2,16,32,64,32,1024,3,1,10485832.0,4718592.0,12845056.0,0.0,5505096.0,7077816.0,0.674988,0.562494,0.551015,1.0
1024,2048,2304,2,1,2,1,2,16,32,64,36,1024,3,1,11763784.0,5308416.0,14417920.0,0.0,6193224.0,7962552.0,0.67687,0.562495,0.552268,1.0
1024,2048,5632,2,1,2,1,2,16,32,64,88,1024,3,1,28377160.0,12976128.0,34865152.0,0.0,15138888.0,19464120.0,0.685908,0.562498,0.558269,1.0
1024,2048,8192,2,1,2,1,2,16,32,64,128,1024,3,1,41156680.0,18874368.0,50593792.0,0.0,22020168.0,28311480.0,0.687895,0.562499,0.559584,1.0
1024,2304,2048,2,1,2,1,2,16,32,64,32,1024,3,1,11796552.0,5308416.0,14450688.0,0.0,6193224.0,7962552.0,0.67499,0.562495,0.551015,1.0
1024,2304,9216,2,1,2,1,2,16,32,64,144,1024,3,1,52052040.0,23887872.0,63995904.0,0.0,27869256.0,35831736.0,0.688383,0.562499,0.559907,1.0
